n_valid_F,valid_source_fit,a,s,sigma,var_ell,normal_intercept,normal_slope,theta,log_s,log_sigma,exclusion_reason,model_id,org_id,reference_sha256,context,A,C,O,REL10,R50,ECE10,Brier,H,Margin,n_valid_source,valid_summaries
584,True,-0.8433913609889209,0.2302733914268588,0.26355771645828585,0.12248850470393352,2.585450879264063e-17,2.1291948417468754e-17,-3.6625654217491532,-1.4684880175763408,-1.3334828971936388,,TriadParty/deepmoney-34b-200k-base,TriadParty,782b4e2a226013b11c39b9a49d5d507d278f4e56d0e2e61610ddb854c83131a4,outer0/test,0.6404109589041096,0.32281368477795724,-0.31759727412615235,0.10394706805181293,0.2517123287671233,0.3175972741261523,0.6606302176749627,0.969961697912518,0.06056603700296052,1168,True
584,True,-0.8086644939783869,0.3442123033218191,0.32129174459383875,0.22171049490226455,5.0378270809189464e-17,-7.604267291953127e-18,-2.3493189702238246,-1.0664966511549154,-1.135405706953755,,TsinghuaC3I/Llama-3-8B-UltraMedical,TsinghuaC3I,782b4e2a226013b11c39b9a49d5d507d278f4e56d0e2e61610ddb854c83131a4,outer0/test,0.6147260273972602,0.3427626711673352,-0.271963356229925,0.08351971868034855,0.2551369863013699,0.2760840068929533,0.6525394709429723,0.9560452677812086,0.07905596196201632,1168,True
584,True,-1.0960318050033833,0.07163688298934333,0.3098111302309337,0.10111477941939742,5.779243141884376e-17,-6.083413833562501e-18,-15.299825442801978,-2.636145212097669,-1.1717924244951734,,TurkuNLP/gpt3-finnish-13B,TurkuNLP,b51c9ab2abb52a9bc9bcd3ea7cc0337483675f6fbd8c6b86d3710b190117b156,outer3/test,0.24743150684931506,0.3161492147823435,0.06871770793302842,0.009087769311005073,0.7277397260273972,0.06871770793302837,0.7631528255281843,0.9764397292292764,0.04856693824263076,1168,True
584,True,-1.1409759829504196,0.036494542113225704,0.3374701143537394,0.11521792968597996,-1.6273132004779693e-16,0.0,-31.26429095645311,-3.3105925607190887,-1.0862783226533352,,TurkuNLP/gpt3-finnish-large,TurkuNLP,b51c9ab2abb52a9bc9bcd3ea7cc0337483675f6fbd8c6b86d3710b190117b156,outer3/test,0.2183219178082192,0.3181837945558216,0.09986187674760238,0.01421324337940312,0.7893835616438356,0.09986187674760236,0.7750868182251017,0.976657693342692,0.05078365650267634,1168,True
584,True,-1.174287338000703,0.06831198219449826,0.41059499094970014,0.1732547735043258,1.10642089097918e-16,1.2166827667125003e-17,-17.19006388450661,-2.683670093026558,-0.8901479738148724,,TurkuNLP/gpt3-finnish-small,TurkuNLP,b51c9ab2abb52a9bc9bcd3ea7cc0337483675f6fbd8c6b86d3710b190117b156,outer3/test,0.2054794520547945,0.32992509725455815,0.12444564519976364,0.021439723346420744,0.791095890410959,0.12444564519976362,0.7834820893098665,0.9688124605918929,0.061431514823782236,1168,True
584,True,-0.8539332318999691,0.3128049016212257,0.2884834043948629,0.18106958108951463,1.977109495907813e-17,1.0341803517056252e-16,-2.72992279684285,-1.162175600289173,-1.2431177184498448,,TwT-6/cr-model,TwT-6,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.5787671232876712,0.3281017921852711,-0.25066533110240014,0.06709511016771456,0.3219178082191781,0.25197151892377007,0.6694609402959734,0.9642672224194784,0.06488865103456623,1168,True
584,True,-0.6485608506841065,0.36601975628322536,0.6266415800382891,0.5266501318225151,-3.650048300137501e-17,9.733462133700002e-17,-1.7719285354155894,-1.0050679681216639,-0.4673805444813419,,TwT-6/cr-model-v1,TwT-6,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.7063356164383562,0.36107461006035657,-0.3452610063779996,0.12697013558581774,0.18835616438356165,0.3479120165036767,0.6124404047493556,0.9386654413821682,0.10294148249361934,1168,True
584,True,-0.8537848894515131,0.31336441341848537,0.2896242970964391,0.1820794890657178,-1.5208534583906253e-17,9.125120750343752e-17,-2.7245751364604325,-1.160388505544251,-1.2391707231762135,,TwT-6/open_llm_leaderboard_demo,TwT-6,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.5804794520547946,0.32811111101717133,-0.25236834103762323,0.06778499970160513,0.3253424657534247,0.2546490940639087,0.6694157037215144,0.9642461135043806,0.0648689842304335,1168,True
584,True,-0.8183489462987853,0.32856974052614657,0.24894874229707614,0.16993355068071528,-7.604267291953127e-18,9.315227432642581e-17,-2.490640023601515,-1.1130061636625255,-1.3905082579369292,,TwT-6/open_llm_leaderboard_demo2,TwT-6,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6215753424657534,0.33597670432682025,-0.28559863813893316,0.08663152975050334,0.2842465753424658,0.28559863813893316,0.6535133990167992,0.9609848432017432,0.07140555288218567,1168,True
584,True,-0.6673329748771591,0.5554833180349014,0.35304015517494786,0.43319906778101447,8.630843376366799e-17,1.794607080900938e-16,-1.2013555640841589,-0.5879167008936096,-1.0411734744816605,,UCLA-AGI/test,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6583904109589042,0.378934639672445,-0.27945577128645915,0.08479811568715166,0.24143835616438356,0.28207905625430973,0.6133914441288623,0.928098919715151,0.11911817799496699,1168,True
584,True,-0.6761956499085268,0.535709388797271,0.34328209304819834,0.4048271446530975,-2.2052375146664067e-17,1.368768112551563e-16,-1.2622434178849533,-0.624163450026533,-1.0692027411134288,,UCLA-AGI/test-test,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6643835616438356,0.3750256405523146,-0.28935792109152103,0.09068564870200457,0.24143835616438356,0.2919612018008936,0.6155606651988306,0.9310208612984899,0.11481798139247015,1168,True
584,True,-0.7313456573763791,0.44168300950360034,0.2958194065966343,0.28259300220334227,4.201357678804103e-17,1.733772942565313e-16,-1.655815690529562,-0.8171628272648441,-1.2180061237018664,,UCLA-AGI/test0,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6361301369863014,0.3588006546230154,-0.277329482363286,0.08246194708492603,0.23972602739726026,0.2788622037374504,0.6307006644898101,0.9444346719547478,0.09788251212969341,1168,True
584,True,-0.6808533724787302,0.5284484900605724,0.3418149803519234,0.39609528744028466,-6.083413833562501e-17,5.3229871043671886e-17,-1.2884006393900165,-0.6378099428294296,-1.0734856814321418,,UCLA-AGI/test_final,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.660958904109589,0.3735363898486311,-0.28742251426095794,0.09042380916572819,0.2482876712328767,0.2903200414266862,0.6168489379132452,0.9322308445430705,0.11322752734038717,1168,True
584,True,-0.7315612548658192,0.44157838320291604,0.2966422992818293,0.2829881222353116,4.828709730390236e-17,1.368768112551563e-16,-1.656696257546758,-0.8173997362977479,-1.215228245549771,,UCLA-AGI/zephyr-7b-sft-full-SPIN-iter0,UCLA-AGI,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6352739726027398,0.3587607985176778,-0.276513174085062,0.08223029683914676,0.23972602739726026,0.27804895717645445,0.6308425455546349,0.9444562494161568,0.09785228512262653,1168,True
