model_id,org_id,A,C,O,REL10,R50,n_valid_source
jondurbin/airoboros-l2-70b-2.1,jondurbin,0.705982905982906,0.3414048158251329,-0.36457809015777315,0.1387184648073962,0.17606837606837608,1170
jondurbin/airoboros-l2-70b-2.2.1,jondurbin,0.6965811965811965,0.3417497720423849,-0.35483142453881167,0.1352561916095603,0.17777777777777778,1170
jondurbin/airoboros-l2-70b-3.1.2,jondurbin,0.7008547008547008,0.3342034691751419,-0.36665123167955893,0.14142364514771683,0.18461538461538463,1170
jondurbin/airoboros-l2-70b-gpt4-1.4.1,jondurbin,0.7034188034188035,0.3376341602709597,-0.36578464314784376,0.1410519572081681,0.19145299145299147,1170
jondurbin/airoboros-l2-70b-gpt4-2.0,jondurbin,0.6854700854700855,0.3309107379062056,-0.35455934756387986,0.13097354698177738,0.21196581196581196,1170
jondurbin/airoboros-l2-70b-gpt4-m2.0,jondurbin,0.7,0.3344541578309574,-0.36554584216904257,0.1390060701541733,0.19829059829059828,1170
jondurbin/airoboros-l2-7b-2.1,jondurbin,0.5444444444444444,0.3289919033990052,-0.2154525410454392,0.050314410570602514,0.37435897435897436,1170
jondurbin/airoboros-l2-7b-2.2.1,jondurbin,0.5504273504273505,0.3236962645086579,-0.22673108591869257,0.0546786929202994,0.3641025641025641,1170
jondurbin/airoboros-l2-7b-gpt4-1.4.1,jondurbin,0.5512820512820513,0.3304375847466299,-0.22084446653542145,0.05220999451777926,0.36923076923076925,1170
jondurbin/airoboros-l2-7b-gpt4-m2.0,jondurbin,0.5051282051282051,0.35482552623208086,-0.15030267889612425,0.027908221513620216,0.4,1170
jondurbin/airoboros-m-7b-3.1.2,jondurbin,0.6188034188034188,0.33170365899829396,-0.28709975980512487,0.08827609265966616,0.28376068376068375,1170
jondurbin/airocoder-34b-2.1,jondurbin,0.5418803418803418,0.33415495663637024,-0.2077253852439716,0.047388999723586026,0.37094017094017095,1170
jondurbin/bagel-34b-v0.2,jondurbin,0.688034188034188,0.33682997260411707,-0.35120421543007097,0.13071828483998946,0.20854700854700856,1170
jondurbin/bagel-34b-v0.4,jondurbin,0.6649572649572649,0.3485666313459779,-0.31639063361128705,0.10609854948264076,0.2170940170940171,1170
jondurbin/bagel-34b-v0.5,jondurbin,0.6794871794871795,0.34551938783848307,-0.33396779164869644,0.11829419179448918,0.20854700854700856,1170
jondurbin/bagel-7b-v0.1,jondurbin,0.6393162393162393,0.32820051037572723,-0.31111572894051204,0.10311115713653612,0.252991452991453,1170
jondurbin/bagel-7b-v0.4,jondurbin,0.6358974358974359,0.3366578187735957,-0.2992396171238402,0.09719030511026702,0.2547008547008547,1170
jondurbin/bagel-7b-v0.5,jondurbin,0.6367521367521367,0.33602123095258213,-0.3007309057995546,0.09938576292151866,0.24444444444444444,1170
jondurbin/bagel-8b-v1.0,jondurbin,0.6547008547008547,0.3411548834202268,-0.3135459712806279,0.10538775541853637,0.24102564102564103,1170
jondurbin/bagel-8x7b-v0.2,jondurbin,0.6820512820512821,0.35313807395011687,-0.3289132081011652,0.11644954573234276,0.20854700854700856,1170
jondurbin/bagel-dpo-34b-v0.2,jondurbin,0.7188034188034188,0.3625049551136961,-0.3562984636897227,0.13745882464100304,0.17435897435897435,1170
jondurbin/bagel-dpo-34b-v0.5,jondurbin,0.6837606837606838,0.3576206097071935,-0.32614007405349027,0.11379309229150474,0.20170940170940171,1170
jondurbin/bagel-dpo-7b-v0.1,jondurbin,0.6675213675213675,0.3476335465591866,-0.3198878209621809,0.10926668162316283,0.22735042735042735,1170
jondurbin/bagel-dpo-7b-v0.4,jondurbin,0.6760683760683761,0.36173058966499505,-0.31433778640338106,0.10589378173834911,0.2188034188034188,1170
jondurbin/bagel-dpo-7b-v0.5,jondurbin,0.6632478632478632,0.34664605840254903,-0.3166018048453142,0.10896474747105211,0.2222222222222222,1170
jondurbin/cinematika-7b-v0.1,jondurbin,0.5991452991452991,0.3380804745034062,-0.2610648246418929,0.07552733108847348,0.28717948717948716,1170
jondurbin/nontoxic-bagel-34b-v0.2,jondurbin,0.7239316239316239,0.3697374215169726,-0.3541942024146513,0.13788299548483815,0.17606837606837608,1170
jondurbin/spicyboros-70b-2.2,jondurbin,0.7068376068376069,0.33550185199103144,-0.37133575484657544,0.14385143949319942,0.18461538461538463,1170
jondurbin/spicyboros-7b-2.2,jondurbin,0.5658119658119658,0.32461496353960906,-0.24119700227235674,0.06261061468627148,0.3418803418803419,1170
joowon99/SOLAR-10.7B-ko_alpaca,joowon99,0.6418803418803419,0.32861643459566026,-0.3132639072846817,0.10079003746433295,0.26837606837606837,1170
jordiclive/Llama-2-70b-oasst-1-200,jordiclive,0.676923076923077,0.3228573403960315,-0.3540657365270455,0.12985039435750134,0.2222222222222222,1170
jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b,jordiclive,0.5615384615384615,0.31190642966691706,-0.24963203187154448,0.06468183484207797,0.3658119658119658,1170
jpechg/Sour-Marcoro-12.5B,jpechg,0.6786324786324787,0.36608806327677323,-0.31254441535570543,0.10729429592795621,0.2153846153846154,1170
jphme/em_german_leo_mistral,jphme,0.5282051282051282,0.324888749334568,-0.2033163788705602,0.04639984065169571,0.40341880341880343,1170
jphme/orca_mini_v2_ger_7b,jphme,0.49829351535836175,0.3203895719217893,-0.17790394343657245,0.035533357490972514,0.4283276450511945,1172
jpquiroga/Mistral_7B_dare_slerp_merge_instruct_open_orca,jpquiroga,0.6264957264957265,0.34465573251332504,-0.28183999398240145,0.08708998291370218,0.27863247863247864,1170
jpquiroga/Mistral_7B_dare_ties_merge_instruct_open_orca,jpquiroga,0.6059829059829059,0.3429361964160873,-0.26304670956681864,0.07611465057745477,0.28034188034188035,1170
jpquiroga/Mistral_7B_slerp_merge_instruct_open_orca,jpquiroga,0.6264957264957265,0.34465573251332504,-0.28183999398240145,0.08708998291370218,0.27863247863247864,1170
jpquiroga/Mistral_7B_ties_merge_instruct_open_orca,jpquiroga,0.5811965811965812,0.3450004627858403,-0.23619611841074095,0.0619835219545888,0.3145299145299145,1170
jpquiroga/Mistral_7B_ties_merge_instruct_open_orca_codeninja,jpquiroga,0.5931623931623932,0.3468295273068234,-0.24633286585556974,0.06794946548990538,0.3111111111111111,1170
jrahn/llama-3-8b-claudstruct-v1,jrahn,0.5965811965811966,0.33086406905558274,-0.2657171275256138,0.07607375417732383,0.30085470085470084,1170
jrahn/llama-3-8b-claudstruct-v2,jrahn,0.5982905982905983,0.33314180405288624,-0.26514879423771204,0.07699095701938762,0.29914529914529914,1170
jrahn/llama-3-8b-claudstruct-v3,jrahn,0.5888888888888889,0.3297830504612752,-0.2591058384276137,0.07196571984945627,0.3145299145299145,1170
jrruethe/balthazar-2x10.7b-v1,jrruethe,0.6239316239316239,0.3786852674450546,-0.24524635648656934,0.07118201382448747,0.28376068376068375,1170
jsfs11/HighdensityRPMerge-7B,jsfs11,0.6735042735042736,0.35973679491369365,-0.3137674785905799,0.10612264449194345,0.22564102564102564,1170
jsfs11/MixtureofMerges-MoE-2x7b-SLERPv0.9,jsfs11,0.7307692307692307,0.4125926496658215,-0.31817658110340924,0.11246469229841938,0.1623931623931624,1170
jsfs11/MixtureofMerges-MoE-2x7b-v6,jsfs11,0.7333333333333333,0.42342275357724946,-0.3099105797560838,0.10726486372048695,0.15042735042735042,1170
jsfs11/MixtureofMerges-MoE-2x7b-v7,jsfs11,0.7316239316239316,0.4209366581998748,-0.3106872734240568,0.10793852088105246,0.1452991452991453,1170
jsfs11/MixtureofMerges-MoE-2x7bRP-v8,jsfs11,0.7128205128205128,0.39882178524749823,-0.3139987275730146,0.10882772431534013,0.1811965811965812,1170
jsfs11/MixtureofMerges-MoE-4x7b-v10-mixtralv0.3,jsfs11,0.6632478632478632,0.34186244100453606,-0.32138542224332717,0.10906467251068923,0.24444444444444444,1170
jsfs11/MixtureofMerges-MoE-4x7b-v3,jsfs11,0.7435897435897436,0.4083085299386495,-0.3352812136510941,0.12051970153727795,0.1658119658119658,1170
jsfs11/MixtureofMerges-MoE-4x7b-v4,jsfs11,0.7247863247863248,0.41648974903459396,-0.3082965757517308,0.10597824192473763,0.1658119658119658,1170
jsfs11/MixtureofMerges-MoE-4x7b-v5,jsfs11,0.7384615384615385,0.41370076627649993,-0.32476077218503857,0.11712469635122708,0.15555555555555556,1170
jsfs11/MixtureofMerges-MoE-v2,jsfs11,0.7239316239316239,0.38588026533947856,-0.33805135859214536,0.1235704978076211,0.18632478632478633,1170
jsfs11/MoEv4Config-TestWeightedTIES-7b,jsfs11,0.7153846153846154,0.3763233819232396,-0.3390612334613758,0.12523740922235385,0.19658119658119658,1170
jsfs11/RandomMergeNoNormWEIGHTED-7B-DARETIES,jsfs11,0.7333333333333333,0.389525920071701,-0.3438074132616323,0.12726594403484237,0.1829059829059829,1170
jsfs11/SnorkelWestBeagle-DARETIES-7B,jsfs11,0.7111111111111111,0.39109349929338477,-0.32001761181772637,0.11016888735526424,0.19145299145299147,1170
jsfs11/TemptressTensor-10.7B-v0.1a,jsfs11,0.7094017094017094,0.3866004077692067,-0.32280130163250276,0.11543627503341389,0.1658119658119658,1170
jsfs11/TurdusTrixBeagle-DARETIES-7B,jsfs11,0.7341880341880341,0.4035624449101762,-0.33062558927785796,0.11787509982105239,0.1794871794871795,1170
jsfs11/WONMSeverusDevil-TIES-7B,jsfs11,0.729059829059829,0.395498665911808,-0.33356116314802103,0.11903482287810527,0.1829059829059829,1170
jsfs11/West-Dare-7B,jsfs11,0.7136752136752137,0.40032029510721545,-0.31335491856799824,0.10899516504080269,0.1829059829059829,1170
jsfs11/WestOrcaNeural-V2-DARETIES-7B,jsfs11,0.7205128205128205,0.3905595076049751,-0.3299533129078454,0.1178249867415109,0.1829059829059829,1170
